t_trial_s,face_detected,pose_detected,avg_ar,l_wrist_hip,r_wrist_hip,mid_shoulder_x,l_ankle_x,r_ankle_x,l_foot_y,r_foot_y,l_hip_angle,r_hip_angle,raw_EYES_OPEN,raw_HANDS_OFF_HIPS,raw_STUMBLE_SWAY,raw_HIP_ABDUCTION,raw_FOOT_LIFT
0.0,True,True,0.0084,0.0895,0.0986,0.5185,0.5622,0.4898,0.9568,0.9512,169.97,165.07,False,False,False,False,False
0.034,True,True,0.009,0.0893,0.0986,0.5184,0.5622,0.4898,0.9568,0.9513,169.98,165.07,False,False,False,False,False
0.069,True,True,0.0087,0.0889,0.0996,0.5185,0.5621,0.4898,0.9568,0.9513,170.18,165.1,False,False,False,False,False
0.103,True,True,0.011,0.0889,0.0993,0.5184,0.5621,0.4898,0.9568,0.9513,170.15,165.13,False,False,False,False,False
0.138,True,True,0.0125,0.0888,0.099,0.5183,0.562,0.4897,0.9568,0.9513,170.04,165.18,False,False,False,False,False
0.172,True,True,0.0154,0.0887,0.0992,0.5182,0.562,0.4897,0.9568,0.9515,169.96,165.2,False,False,False,False,False
0.207,True,True,0.0174,0.0883,0.0991,0.5181,0.5619,0.4897,0.9568,0.9516,170.04,165.22,False,False,False,False,False
0.241,True,True,0.0164,0.0878,0.0999,0.5181,0.5619,0.4899,0.9568,0.9516,170.12,165.26,False,False,False,False,False
0.276,True,True,0.0157,0.0878,0.0997,0.518,0.5619,0.4897,0.9568,0.9516,170.03,165.17,False,False,False,False,False
0.31,True,True,0.0168,0.0879,0.0991,0.5178,0.5618,0.4895,0.9568,0.9516,170.04,165.36,False,False,False,False,False
0.345,True,True,0.0185,0.0881,0.0991,0.5177,0.5617,0.4895,0.9567,0.9517,169.84,165.44,False,False,False,False,False
0.379,True,True,0.0163,0.0881,0.099,0.5175,0.5617,0.4901,0.9566,0.9519,169.75,165.54,False,False,False,False,False
0.414,True,True,0.0141,0.088,0.0991,0.5172,0.5617,0.4901,0.9566,0.952,169.8,165.66,False,False,False,False,False
0.448,True,True,0.0126,0.0879,0.0992,0.5171,0.5617,0.4901,0.9566,0.952,169.8,165.68,False,False,False,False,False
0.483,True,True,0.0127,0.0879,0.099,0.5168,0.5617,0.4901,0.9566,0.9521,169.84,165.69,False,False,False,False,False
0.517,True,True,0.0114,0.0879,0.0991,0.5167,0.5617,0.4901,0.9566,0.9521,169.87,165.75,False,False,False,False,False
0.552,True,True,0.0119,0.0878,0.0989,0.5163,0.5617,0.4901,0.9566,0.9521,169.92,165.78,False,False,False,False,False
0.586,True,True,0.0118,0.0877,0.099,0.5161,0.5617,0.4901,0.9567,0.9521,170.07,165.78,False,False,False,False,False
0.621,True,True,0.0119,0.0878,0.0986,0.5157,0.5616,0.4899,0.9566,0.952,170.18,165.8,False,False,False,False,False
0.655,True,True,0.012,0.0878,0.0988,0.5156,0.5617,0.4901,0.9566,0.9521,170.25,165.83,False,False,False,False,False
0.69,True,True,0.0088,0.0878,0.0983,0.5153,0.5617,0.4899,0.9566,0.9519,170.3,165.9,False,False,False,False,False
0.724,True,True,0.0081,0.0876,0.0985,0.5151,0.5617,0.4899,0.9566,0.952,170.33,165.89,False,False,False,False,False
0.759,True,True,0.0115,0.0877,0.0982,0.5148,0.5616,0.4896,0.9566,0.9519,170.4,165.97,False,False,False,False,False
0.793,True,True,0.0122,0.0877,0.0981,0.5146,0.5616,0.4896,0.9566,0.9517,170.44,166.03,False,False,False,False,False
0.828,True,True,0.0133,0.0878,0.098,0.5145,0.5616,0.4896,0.9566,0.9517,170.47,166.08,False,False,False,False,False
0.862,True,True,0.014,0.0878,0.0985,0.5144,0.5616,0.4895,0.9566,0.9516,170.49,166.08,False,False,False,False,False
0.897,True,True,0.0151,0.0879,0.0986,0.5142,0.5616,0.4894,0.9566,0.9516,170.55,166.08,False,False,False,False,False
0.931,True,True,0.0163,0.0879,0.0986,0.5141,0.5616,0.4894,0.9566,0.9516,170.55,166.1,False,False,False,False,False
0.966,True,True,0.0171,0.088,0.0986,0.5141,0.5616,0.4894,0.9566,0.9516,170.55,166.11,False,False,False,False,False
1.0,True,True,0.0177,0.088,0.0988,0.514,0.5616,0.4893,0.9566,0.9515,170.55,166.06,False,False,False,False,False
1.034,True,True,0.0182,0.0881,0.0989,0.514,0.5615,0.4892,0.9566,0.9515,170.61,166.02,False,False,False,False,False
1.069,True,True,0.019,0.0881,0.0989,0.514,0.5614,0.4891,0.9566,0.9514,170.61,166.01,False,False,False,False,False
1.103,True,True,0.0195,0.0881,0.099,0.514,0.5614,0.4889,0.9566,0.9514,170.59,166.02,False,False,False,False,False
1.138,True,True,0.0207,0.0882,0.099,0.514,0.5613,0.4888,0.9566,0.9514,170.56,165.98,False,False,False,False,False
1.172,True,True,0.022,0.0883,0.0991,0.5141,0.5613,0.4888,0.9565,0.9513,170.53,166.0,False,False,False,False,False
1.207,True,True,0.0232,0.0885,0.0993,0.5141,0.5613,0.4888,0.9565,0.9512,170.54,165.97,False,False,False,False,False
1.241,True,True,0.0255,0.0886,0.0994,0.5142,0.5613,0.4888,0.9565,0.9512,170.51,165.92,False,False,False,False,False
1.276,True,True,0.0278,0.0888,0.0996,0.5142,0.5613,0.4889,0.9565,0.9513,170.51,165.86,False,False,False,False,False
1.31,True,True,0.0208,0.0892,0.0995,0.5144,0.5615,0.489,0.9564,0.9512,170.53,165.8,False,False,False,False,False
1.345,True,True,0.0257,0.0891,0.0994,0.5145,0.5615,0.489,0.9564,0.9512,170.45,165.8,False,False,False,False,False
1.379,True,True,0.0277,0.0889,0.0994,0.5146,0.5615,0.489,0.9565,0.9512,170.46,165.74,False,False,False,False,False
1.414,True,True,0.0286,0.0888,0.0994,0.5147,0.5615,0.4889,0.9565,0.9511,170.47,165.69,False,False,False,False,False
1.448,True,True,0.0276,0.0887,0.0989,0.5148,0.5615,0.4889,0.9565,0.9511,170.48,165.72,False,False,False,False,False
1.483,True,True,0.0272,0.0891,0.0989,0.5149,0.5615,0.4893,0.9565,0.9512,170.5,165.91,False,False,False,False,False
1.517,True,True,0.0261,0.0892,0.0987,0.5149,0.5615,0.4893,0.9565,0.9512,170.48,165.84,False,False,False,False,False
1.552,True,True,0.0244,0.0895,0.0984,0.515,0.5614,0.4891,0.9565,0.9512,170.42,165.77,False,False,False,False,False
1.586,True,True,0.022,0.0902,0.0976,0.5151,0.5616,0.4892,0.9565,0.9509,170.49,165.66,False,False,False,False,False
1.621,True,True,0.022,0.0903,0.0977,0.5151,0.5616,0.4892,0.9565,0.9509,170.49,165.45,False,False,False,False,False
1.655,True,True,0.0194,0.0906,0.0972,0.5152,0.5616,0.4893,0.9565,0.9509,170.56,165.34,False,False,False,False,False
1.69,True,True,0.0129,0.0906,0.0975,0.5153,0.5616,0.4893,0.9565,0.9508,170.56,165.22,False,False,False,False,False
1.724,True,True,0.0134,0.0908,0.0972,0.5154,0.5616,0.4895,0.9565,0.9508,170.61,165.16,False,False,False,False,False
