t_trial_s,face_detected,pose_detected,avg_ar,l_wrist_hip,r_wrist_hip,mid_shoulder_x,l_ankle_x,r_ankle_x,l_foot_y,r_foot_y,l_hip_angle,r_hip_angle,raw_EYES_OPEN,raw_HANDS_OFF_HIPS,raw_STUMBLE_SWAY,raw_HIP_ABDUCTION,raw_FOOT_LIFT
0.006,True,True,0.134,0.084,0.0821,0.4844,0.5241,0.4714,0.794,0.7939,166.6,170.93,False,False,False,False,False
0.039,True,True,0.1496,0.084,0.0824,0.484,0.5237,0.4714,0.7935,0.7937,166.77,170.92,False,False,False,False,False
0.072,True,True,0.1576,0.0839,0.083,0.4836,0.5234,0.4714,0.7935,0.7937,166.74,171.09,False,False,False,False,False
0.106,True,True,0.1788,0.0862,0.0851,0.4829,0.523,0.4711,0.7935,0.7935,167.15,171.05,False,False,False,False,False
0.139,True,True,0.17,0.0928,0.0951,0.4827,0.5227,0.4711,0.7935,0.7936,167.31,171.07,False,False,False,False,False
0.172,True,True,0.168,0.1038,0.1106,0.482,0.5227,0.4709,0.7938,0.7936,167.92,170.63,False,False,False,False,False
0.206,True,True,0.2001,0.1173,0.1345,0.4815,0.5226,0.4712,0.7939,0.7935,168.38,170.51,True,True,False,False,False
0.239,True,True,0.1898,0.1415,0.1586,0.4795,0.5227,0.472,0.794,0.7935,169.19,169.63,False,True,False,False,False
0.273,True,True,0.1712,0.1606,0.1734,0.4791,0.5223,0.471,0.7939,0.7938,169.37,169.42,False,True,False,False,False
0.306,True,True,0.191,0.1707,0.1908,0.479,0.5224,0.4713,0.7935,0.793,169.4,169.26,False,True,False,False,False
0.339,True,True,0.1618,0.1893,0.2101,0.4789,0.5237,0.4715,0.7931,0.7927,169.27,169.11,False,True,False,False,False
0.373,True,True,0.1193,0.2012,0.2229,0.4788,0.5246,0.4718,0.7925,0.792,169.3,168.96,False,True,False,False,False
0.406,True,True,0.1504,0.2093,0.2255,0.4788,0.5249,0.4718,0.7923,0.7917,169.57,169.23,False,True,False,False,False
0.44,True,True,0.1681,0.2112,0.2268,0.4787,0.5258,0.4718,0.7924,0.7919,169.53,169.15,False,True,False,False,False
0.473,True,True,0.1561,0.2116,0.2264,0.4783,0.5264,0.4719,0.7926,0.7919,169.51,169.05,False,True,False,False,False
0.506,True,True,0.1625,0.2083,0.225,0.4782,0.527,0.4724,0.7926,0.792,169.52,168.97,False,True,False,False,False
0.54,True,True,0.1583,0.2058,0.2222,0.478,0.5272,0.4723,0.7925,0.7924,169.27,168.7,False,True,False,False,False
0.573,True,True,0.1533,0.2033,0.2217,0.4779,0.5276,0.4724,0.7928,0.7924,169.17,168.7,False,True,False,False,False
0.607,True,True,0.1531,0.2011,0.2233,0.4777,0.5278,0.4729,0.7932,0.7924,169.2,168.63,False,True,False,False,False
0.64,True,True,0.1357,0.2009,0.223,0.4776,0.5278,0.473,0.7933,0.7924,169.24,168.57,False,True,False,False,False
0.673,True,True,0.1284,0.2005,0.2246,0.4776,0.5277,0.473,0.7931,0.7925,169.23,168.56,False,True,False,False,False
0.707,True,True,0.1227,0.2002,0.225,0.4775,0.5277,0.4732,0.793,0.7924,169.2,168.52,False,True,False,False,False
0.74,True,True,0.147,0.1996,0.2213,0.4774,0.5277,0.4736,0.793,0.7925,169.11,168.56,False,True,False,False,False
