stance,surface,error_type,start_s,duration_s
DOUBLE_LEG,FIRM,EYES_OPEN,0.94,0.401
DOUBLE_LEG,FIRM,HIP_ABDUCTION,3.245,1.536
DOUBLE_LEG,FIRM,EYES_OPEN,4.781,0.668
DOUBLE_LEG,FIRM,EYES_OPEN,5.649,0.267
DOUBLE_LEG,FIRM,EYES_OPEN,5.949,0.367
DOUBLE_LEG,FIRM,EYES_OPEN,6.684,0.267
DOUBLE_LEG,FIRM,EYES_OPEN,8.387,0.534
DOUBLE_LEG,FIRM,EYES_OPEN,9.022,0.468
DOUBLE_LEG,FIRM,EYES_OPEN,9.957,0.334
DOUBLE_LEG,FIRM,FOOT_LIFT,10.357,0.902
DOUBLE_LEG,FIRM,EYES_OPEN,10.458,0.768
DOUBLE_LEG,FIRM,HANDS_OFF_HIPS,11.426,2.338
DOUBLE_LEG,FIRM,FOOT_LIFT,11.493,0.501
DOUBLE_LEG,FIRM,FOOT_LIFT,13.396,0.601
DOUBLE_LEG,FIRM,EYES_OPEN,13.897,0.601
DOUBLE_LEG,FIRM,FOOT_LIFT,14.031,5.944
DOUBLE_LEG,FIRM,EYES_OPEN,14.632,0.401
DOUBLE_LEG,FIRM,EYES_OPEN,15.667,0.234
DOUBLE_LEG,FIRM,EYES_OPEN,16.335,0.735
DOUBLE_LEG,FIRM,HIP_ABDUCTION,16.368,0.501
DOUBLE_LEG,FIRM,EYES_OPEN,17.47,0.668
DOUBLE_LEG,FIRM,EYES_OPEN,18.238,0.334
DOUBLE_LEG,FIRM,EYES_OPEN,18.639,0.935
