t_trial_s,face_detected,pose_detected,avg_ar,l_wrist_hip,r_wrist_hip,mid_shoulder_x,l_ankle_x,r_ankle_x,l_foot_y,r_foot_y,l_hip_angle,r_hip_angle,raw_EYES_OPEN,raw_HANDS_OFF_HIPS,raw_STUMBLE_SWAY,raw_HIP_ABDUCTION,raw_FOOT_LIFT
0.0,True,True,0.0501,0.1242,0.1071,0.6338,0.6952,0.5845,0.8933,0.8859,167.16,164.08,False,False,False,False,False
0.034,True,True,0.0475,0.1233,0.1069,0.6336,0.6955,0.5845,0.8933,0.8859,167.06,164.13,False,False,False,False,False
0.069,True,True,0.0381,0.1234,0.1065,0.6335,0.6955,0.5845,0.8936,0.8859,166.99,164.17,False,False,False,False,False
0.103,True,True,0.0392,0.1233,0.1059,0.6333,0.6959,0.5844,0.8937,0.886,167.0,164.35,False,False,False,False,False
0.138,True,True,0.0371,0.1234,0.106,0.6329,0.6967,0.5841,0.8937,0.8861,166.92,164.06,False,False,False,False,False
0.172,True,True,0.0334,0.1239,0.1072,0.6328,0.6961,0.5843,0.8935,0.8859,166.72,164.48,False,False,False,False,False
0.207,True,True,0.043,0.1227,0.1073,0.6321,0.6964,0.5842,0.8937,0.8863,166.69,164.35,False,False,False,False,False
0.241,True,True,0.0396,0.1223,0.1072,0.632,0.6962,0.5842,0.8937,0.8863,166.66,164.66,False,False,False,False,False
0.276,True,True,0.0412,0.1209,0.1072,0.6316,0.6966,0.5841,0.8938,0.8863,166.69,164.6,False,False,False,False,False
0.31,True,True,0.0475,0.1208,0.1065,0.6314,0.6966,0.5841,0.8939,0.8863,166.52,164.76,False,False,False,False,False
0.345,True,True,0.0439,0.1209,0.1074,0.6308,0.6971,0.5841,0.8939,0.8863,166.53,164.61,False,False,False,False,False
0.379,True,True,0.0455,0.121,0.107,0.6304,0.6969,0.5845,0.8938,0.8863,166.57,164.75,False,False,False,False,False
0.414,True,True,0.0473,0.1214,0.1079,0.6296,0.697,0.5845,0.8938,0.8864,166.46,164.57,False,False,False,False,False
0.448,True,True,0.0471,0.1213,0.1093,0.629,0.697,0.584,0.8941,0.8863,166.51,164.1,False,False,False,False,False
0.483,True,True,0.0441,0.1219,0.1126,0.6282,0.6971,0.5838,0.8942,0.8864,166.55,163.89,False,False,False,False,False
0.517,True,True,0.0397,0.1215,0.1133,0.6273,0.697,0.5837,0.8942,0.8864,166.72,163.76,False,False,False,False,False
0.552,True,True,0.0395,0.1221,0.1134,0.627,0.6971,0.5836,0.8945,0.8867,166.8,163.97,False,False,False,False,False
0.586,True,True,0.0358,0.1227,0.1161,0.6256,0.6969,0.5836,0.8945,0.887,167.01,163.81,False,False,False,False,False
0.621,True,True,0.0336,0.1238,0.1169,0.6252,0.6973,0.5837,0.8943,0.887,166.8,164.07,False,False,False,False,False
0.655,True,True,0.033,0.1238,0.1168,0.6245,0.6974,0.5837,0.8943,0.887,166.65,164.0,False,False,False,False,False
0.69,True,True,0.0357,0.124,0.1162,0.6241,0.6975,0.5835,0.8947,0.8871,166.53,164.14,False,False,False,False,False
0.724,True,True,0.0321,0.1242,0.1169,0.6229,0.6974,0.5834,0.8946,0.8872,166.77,163.86,False,False,False,False,False
0.759,True,True,0.0384,0.1244,0.1174,0.6223,0.6974,0.5831,0.8942,0.8871,166.58,164.0,False,False,False,False,False
