stance,surface,error_type,start_s,duration_s
DOUBLE_LEG,FIRM,EYES_OPEN,0.339,0.601
DOUBLE_LEG,FIRM,EYES_OPEN,1.341,0.868
DOUBLE_LEG,FIRM,EYES_OPEN,2.243,2.237
DOUBLE_LEG,FIRM,HIP_ABDUCTION,3.245,1.536
DOUBLE_LEG,FIRM,EYES_OPEN,6.417,0.267
DOUBLE_LEG,FIRM,EYES_OPEN,8.053,0.334
DOUBLE_LEG,FIRM,EYES_OPEN,9.556,0.401
DOUBLE_LEG,FIRM,FOOT_LIFT,10.357,0.902
DOUBLE_LEG,FIRM,EYES_OPEN,11.226,2.204
DOUBLE_LEG,FIRM,HANDS_OFF_HIPS,11.426,2.338
DOUBLE_LEG,FIRM,FOOT_LIFT,11.493,0.501
DOUBLE_LEG,FIRM,FOOT_LIFT,13.396,0.601
DOUBLE_LEG,FIRM,EYES_OPEN,13.463,0.434
DOUBLE_LEG,FIRM,FOOT_LIFT,14.031,5.944
DOUBLE_LEG,FIRM,EYES_OPEN,15.032,0.234
DOUBLE_LEG,FIRM,EYES_OPEN,15.433,0.234
DOUBLE_LEG,FIRM,EYES_OPEN,15.901,0.267
DOUBLE_LEG,FIRM,HIP_ABDUCTION,16.368,0.501
DOUBLE_LEG,FIRM,EYES_OPEN,17.069,0.267
DOUBLE_LEG,FIRM,EYES_OPEN,19.574,0.401
