t_trial_s,face_detected,pose_detected,avg_ar,l_wrist_hip,r_wrist_hip,mid_shoulder_x,l_ankle_x,r_ankle_x,l_foot_y,r_foot_y,l_hip_angle,r_hip_angle,raw_EYES_OPEN,raw_HANDS_OFF_HIPS,raw_STUMBLE_SWAY,raw_HIP_ABDUCTION,raw_FOOT_LIFT
0.0,True,True,0.0562,0.0895,0.0836,0.5267,0.5685,0.4952,0.9455,0.9506,166.69,164.29,False,False,False,False,False
0.034,True,True,0.0535,0.0895,0.0831,0.527,0.5685,0.4951,0.9455,0.9506,166.56,164.3,False,False,False,False,False
0.069,True,True,0.0585,0.0896,0.0835,0.5272,0.5685,0.4951,0.9455,0.9506,166.66,164.22,False,False,False,False,False
0.103,True,True,0.0609,0.0898,0.0833,0.5275,0.5686,0.4951,0.9455,0.9506,166.48,164.3,False,False,False,False,False
0.138,True,True,0.0583,0.09,0.0835,0.5276,0.5686,0.495,0.9455,0.9506,166.54,164.32,False,False,False,False,False
0.172,True,True,0.0552,0.09,0.083,0.5278,0.5686,0.4951,0.9455,0.9506,166.42,164.3,False,False,False,False,False
0.207,True,True,0.0563,0.09,0.0834,0.528,0.5686,0.495,0.9456,0.9507,166.5,164.29,False,False,False,False,False
0.241,True,True,0.0481,0.0898,0.0831,0.5281,0.5686,0.495,0.9456,0.9507,166.41,164.28,False,False,False,False,False
0.276,True,True,0.0544,0.0897,0.0836,0.5283,0.5686,0.4949,0.9456,0.9507,166.45,164.25,False,False,False,False,False
0.31,True,True,0.0553,0.0896,0.0834,0.5285,0.5686,0.4949,0.9456,0.9507,166.33,164.26,False,False,False,False,False
0.345,True,True,0.0558,0.0896,0.0837,0.5285,0.5686,0.4948,0.9456,0.9507,166.46,164.25,False,False,False,False,False
0.379,True,True,0.0548,0.0896,0.0829,0.5286,0.5686,0.4949,0.9456,0.9507,166.42,164.26,False,False,False,False,False
0.414,True,True,0.051,0.0895,0.0829,0.5288,0.5686,0.4948,0.9456,0.9507,166.46,164.27,False,False,False,False,False
0.448,True,True,0.0444,0.0895,0.083,0.5288,0.5686,0.4948,0.9456,0.9507,166.44,164.28,False,False,False,False,False
0.483,True,True,0.0398,0.0896,0.0838,0.5288,0.5686,0.4948,0.9456,0.9507,166.52,164.28,False,False,False,False,False
0.517,True,True,0.0321,0.0895,0.0839,0.5289,0.5686,0.4949,0.9456,0.9508,166.52,164.23,False,False,False,False,False
0.552,True,True,0.0303,0.0895,0.0843,0.5289,0.5686,0.4949,0.9457,0.9508,166.54,164.22,False,False,False,False,False
0.586,True,True,0.0328,0.0895,0.0845,0.529,0.5686,0.4949,0.9457,0.9509,166.51,164.2,False,False,False,False,False
0.621,True,True,0.0348,0.0895,0.0844,0.5291,0.5686,0.4948,0.9457,0.9509,166.51,164.2,False,False,False,False,False
0.655,True,True,0.0358,0.0894,0.0842,0.5291,0.5686,0.4949,0.9457,0.9509,166.43,164.22,False,False,False,False,False
0.69,True,True,0.0368,0.0893,0.0845,0.5291,0.5686,0.4948,0.9457,0.9509,166.46,164.22,False,False,False,False,False
0.724,True,True,0.0374,0.0892,0.0839,0.5292,0.5687,0.4949,0.9457,0.9509,166.42,164.19,False,False,False,False,False
0.759,True,True,0.0375,0.0893,0.0843,0.5292,0.5687,0.4948,0.9457,0.9509,166.43,164.22,False,False,False,False,False
0.793,True,True,0.0372,0.0891,0.0844,0.5292,0.5687,0.4948,0.9457,0.9509,166.38,164.24,False,False,False,False,False
0.828,True,True,0.0378,0.0892,0.0845,0.5292,0.5688,0.4948,0.9457,0.9508,166.43,164.28,False,False,False,False,False
0.862,True,True,0.0391,0.089,0.0847,0.5292,0.5688,0.4949,0.9457,0.9508,166.41,164.28,False,False,False,False,False
0.897,True,True,0.04,0.089,0.0846,0.5293,0.5688,0.4949,0.9457,0.9508,166.4,164.27,False,False,False,False,False
0.931,True,True,0.0404,0.089,0.0845,0.5293,0.5688,0.4948,0.9457,0.9509,166.33,164.25,False,False,False,False,False
0.966,True,True,0.0421,0.0891,0.0845,0.5293,0.5688,0.4947,0.9457,0.9508,166.34,164.24,False,False,False,False,False
1.0,True,True,0.0401,0.089,0.0843,0.5293,0.5688,0.4947,0.9457,0.9508,166.3,164.19,False,False,False,False,False
