t_trial_s,face_detected,pose_detected,avg_ar,l_wrist_hip,r_wrist_hip,mid_shoulder_x,l_ankle_x,r_ankle_x,l_foot_y,r_foot_y,l_hip_angle,r_hip_angle,raw_EYES_OPEN,raw_HANDS_OFF_HIPS,raw_STUMBLE_SWAY,raw_HIP_ABDUCTION,raw_FOOT_LIFT
0.006,True,True,0.1064,0.0922,0.0855,0.5387,0.5682,0.5131,0.8428,0.8409,167.49,166.8,True,False,False,False,False
0.039,True,True,0.1043,0.0925,0.0855,0.539,0.5684,0.5132,0.843,0.8409,167.4,167.1,True,False,False,False,False
0.072,True,True,0.1022,0.0929,0.085,0.5391,0.567,0.5132,0.843,0.8405,167.15,167.17,True,False,False,False,False
0.106,True,True,0.1166,0.0926,0.085,0.539,0.5669,0.5127,0.8429,0.8403,167.21,166.94,True,False,False,False,False
0.139,True,True,0.114,0.0915,0.0842,0.5391,0.5669,0.5125,0.8416,0.8399,167.12,166.54,True,False,False,False,False
0.172,True,True,0.1062,0.0924,0.0839,0.5391,0.5668,0.5123,0.8408,0.8387,167.04,166.67,True,False,False,False,False
0.206,True,True,0.1078,0.0924,0.0842,0.5392,0.5665,0.5121,0.8405,0.8383,167.05,166.7,True,False,False,False,False
0.239,True,True,0.0959,0.0923,0.0839,0.5394,0.5668,0.5119,0.8405,0.8383,166.97,166.81,True,False,False,False,False
0.273,True,True,0.0531,0.093,0.0831,0.5395,0.5668,0.5116,0.8403,0.8381,166.56,167.01,True,False,False,False,False
0.306,True,True,0.0637,0.0922,0.0831,0.5394,0.5664,0.5115,0.8395,0.838,166.73,167.0,True,False,False,False,False
0.339,True,True,0.0743,0.0922,0.0835,0.5393,0.5665,0.5111,0.8392,0.838,166.74,166.98,True,False,False,False,False
0.373,True,True,0.0566,0.0927,0.0835,0.5391,0.5665,0.5106,0.8388,0.8379,166.55,167.06,True,False,False,False,False
0.406,True,True,0.0783,0.0925,0.0839,0.5389,0.5659,0.5096,0.8383,0.8372,166.24,167.23,True,False,False,False,False
0.44,True,True,0.0922,0.0925,0.0835,0.5384,0.5659,0.5091,0.8383,0.8368,166.01,167.37,True,False,False,False,False
0.473,True,True,0.108,0.0918,0.0844,0.5379,0.5659,0.5085,0.8379,0.8367,166.37,167.29,True,False,False,False,False
0.506,True,True,0.0939,0.0919,0.0851,0.5363,0.5649,0.5083,0.8378,0.8361,167.07,167.75,True,False,False,False,False
0.54,True,True,0.0907,0.0924,0.0837,0.5347,0.5642,0.5069,0.8375,0.8353,166.74,168.28,True,False,False,False,False
0.573,True,True,0.0897,0.0933,0.0829,0.5329,0.5631,0.506,0.8358,0.8351,166.32,168.37,True,False,False,False,False
0.607,True,True,0.0887,0.0934,0.0847,0.5308,0.5616,0.5029,0.8352,0.8348,165.99,168.04,True,False,False,False,False
0.64,True,True,0.0897,0.0936,0.0861,0.5287,0.5592,0.5009,0.8353,0.8346,165.92,167.61,True,False,False,False,False
0.673,True,True,0.0847,0.0926,0.0864,0.5266,0.5568,0.4992,0.8352,0.8341,166.06,168.13,True,False,False,False,False
0.707,True,True,0.0731,0.0916,0.086,0.524,0.5539,0.4958,0.8338,0.8319,166.39,167.35,True,False,False,False,False
0.74,True,True,0.0717,0.0912,0.0849,0.5217,0.5509,0.4949,0.832,0.8301,166.68,167.09,True,False,False,False,False
0.774,True,True,0.0699,0.0924,0.0846,0.5198,0.5494,0.4943,0.8313,0.8289,166.95,167.19,True,False,False,False,False
0.807,True,True,0.0942,0.0917,0.0843,0.5191,0.5487,0.4937,0.8311,0.8285,167.04,167.23,True,False,False,False,False
0.84,True,True,0.1084,0.0912,0.0839,0.5189,0.549,0.4936,0.8306,0.8287,167.22,166.93,True,False,False,False,False
0.874,True,True,0.0946,0.0915,0.0836,0.519,0.5492,0.4937,0.8305,0.8287,167.03,167.26,True,False,False,False,False
0.907,True,True,0.1008,0.0916,0.0832,0.519,0.5494,0.4938,0.8303,0.8291,167.27,167.38,True,False,False,False,False
0.941,True,True,0.0875,0.0918,0.0828,0.519,0.5491,0.4938,0.8299,0.8293,167.71,167.71,True,False,False,False,False
0.974,True,True,0.0827,0.0918,0.0825,0.5189,0.5489,0.4938,0.8297,0.8291,167.71,167.83,True,False,False,False,False
1.007,True,True,0.0777,0.0917,0.0824,0.5189,0.549,0.4939,0.8295,0.829,167.71,167.89,True,False,False,False,False
1.041,True,True,0.0828,0.0918,0.0827,0.5189,0.549,0.4939,0.8295,0.8283,167.61,167.89,True,False,False,False,False
1.074,True,True,0.1109,0.0918,0.0838,0.5185,0.5488,0.4933,0.8294,0.8283,167.56,167.7,True,False,False,False,False
1.108,True,True,0.095,0.0908,0.0841,0.518,0.5483,0.4925,0.8293,0.8272,167.25,167.5,True,False,False,False,False
1.141,True,True,0.0902,0.0905,0.0842,0.5172,0.5469,0.491,0.8292,0.8272,167.08,166.98,True,False,False,False,False
1.174,True,True,0.0897,0.0913,0.0846,0.5167,0.5462,0.4898,0.8287,0.8269,166.72,166.5,True,False,False,False,False
1.208,True,True,0.0815,0.0892,0.0835,0.5156,0.5452,0.4892,0.8286,0.8267,166.53,166.5,True,False,False,False,False
1.241,True,True,0.0909,0.0893,0.081,0.5146,0.5445,0.4889,0.8266,0.8253,165.96,167.42,True,False,False,False,False
1.275,True,True,0.0868,0.089,0.0801,0.5134,0.5444,0.4886,0.8252,0.8246,166.67,167.61,True,False,False,False,False
1.308,True,True,0.0992,0.0901,0.0807,0.5123,0.5432,0.4865,0.8242,0.8244,166.73,167.7,True,False,False,False,False
1.341,True,True,0.0996,0.0906,0.0807,0.5112,0.5424,0.4854,0.8244,0.8236,166.64,167.13,True,False,False,False,False
1.375,True,True,0.0872,0.0911,0.0799,0.5099,0.5406,0.4847,0.8244,0.8234,166.13,167.72,True,False,False,False,False
1.408,True,True,0.0891,0.0918,0.0802,0.5091,0.5395,0.4834,0.8236,0.8232,166.43,167.65,True,False,False,False,False
1.441,True,True,0.0882,0.0917,0.0806,0.5082,0.5389,0.4827,0.8229,0.8226,166.76,167.44,True,False,False,False,False
1.475,True,True,0.0871,0.0915,0.0804,0.5077,0.5388,0.4819,0.8229,0.8221,166.47,167.61,True,False,False,False,False
1.508,True,True,0.0898,0.0919,0.0811,0.5071,0.538,0.482,0.8225,0.822,166.79,167.42,True,False,False,False,False
1.542,True,True,0.0936,0.0916,0.081,0.5069,0.5374,0.4815,0.8225,0.8218,166.86,167.31,True,False,False,False,False
1.575,True,True,0.1123,0.0915,0.0812,0.5068,0.5372,0.4814,0.8223,0.8217,166.95,167.37,True,False,False,False,True
1.608,True,True,0.0898,0.0915,0.0813,0.5066,0.5372,0.4812,0.822,0.8217,166.91,167.32,True,False,False,False,True
1.642,True,True,0.1015,0.0915,0.081,0.5065,0.5372,0.4814,0.8218,0.8213,166.84,167.65,True,False,False,False,True
1.675,True,True,0.084,0.0916,0.0811,0.5064,0.5367,0.482,0.8219,0.8213,166.9,167.52,True,False,False,False,True
1.709,True,True,0.0792,0.0918,0.0816,0.5062,0.5367,0.4812,0.8223,0.8215,166.73,167.44,True,False,False,False,True
1.742,True,True,0.0822,0.0917,0.0814,0.5062,0.5366,0.4817,0.8223,0.8217,166.84,167.45,True,False,False,False,True
1.775,True,True,0.0833,0.0914,0.0814,0.506,0.5366,0.4818,0.8223,0.8216,166.87,167.67,True,False,False,False,True
1.809,True,True,0.083,0.0912,0.0814,0.506,0.5365,0.4811,0.8223,0.8214,166.89,167.54,True,False,False,False,True
1.842,True,True,0.065,0.092,0.0807,0.506,0.5368,0.481,0.8219,0.821,166.12,167.8,True,False,False,False,True
1.876,True,True,0.0574,0.0918,0.0813,0.5058,0.5368,0.4808,0.8221,0.821,166.51,167.65,True,False,False,False,True
